Teams,Golfer 1,Golfer 2,Golfer 3,Golfer 4,Golfer 5,Golfer 6,Golfer 7,Golfer 8,First Alt,Second Alt,Third Alt,Fourth Alt
Burke Jr. Jack,"Lindberg, Mikael","Kim, Tom","Lee, Junghwan","Cauley, Bud","Saddier, Adrien","Wallace, Matt","Penge, Marco","Jamieson, Scott","Campbell, Brian","Kim, Michael","Hidalgo, Angel","Smalley, Alex"
"Butterfield, Duke","Kim, Tom","Lee, Junghwan","Cauley, Bud","Saddier, Adrien","Wallace, Matt","Penge, Marco","Jamieson, Scott","Campbell, Brian","Kim, Michael","Hidalgo, Angel","Smalley, Alex","Harrington, Padraig"
"Butterfield, Richard","Lee, Junghwan","Cauley, Bud","Saddier, Adrien","Wallace, Matt","Penge, Marco","Jamieson, Scott","Campbell, Brian","Kim, Michael","Hidalgo, Angel","Smalley, Alex","Harrington, Padraig","Wiesberger, Bernd"
"Carr, Joe","Cauley, Bud","Saddier, Adrien","Wallace, Matt","Penge, Marco","Jamieson, Scott","Campbell, Brian","Kim, Michael","Hidalgo, Angel","Smalley, Alex","Harrington, Padraig","Wiesberger, Bernd","Canter, Laurie"
"Casper, Billy","Saddier, Adrien","Wallace, Matt","Penge, Marco","Jamieson, Scott","Campbell, Brian","Kim, Michael","Hidalgo, Angel","Smalley, Alex","Harrington, Padraig","Wiesberger, Bernd","Canter, Laurie","McCarty, Matt"
"Cooper, Harry","Wallace, Matt","Penge, Marco","Jamieson, Scott","Campbell, Brian","Kim, Michael","Hidalgo, Angel","Smalley, Alex","Harrington, Padraig","Wiesberger, Bernd","Canter, Laurie","McCarty, Matt","Norris, Shaun"
"Cotton, Henry","Penge, Marco","Jamieson, Scott","Campbell, Brian","Kim, Michael","Hidalgo, Angel","Smalley, Alex","Harrington, Padraig","Wiesberger, Bernd","Canter, Laurie","McCarty, Matt","Norris, Shaun","Forrest, Grant"
"Crenshaw, Ben","Jamieson, Scott","Campbell, Brian","Kim, Michael","Hidalgo, Angel","Smalley, Alex","Harrington, Padraig","Wiesberger, Bernd","Canter, Laurie","McCarty, Matt","Norris, Shaun","Forrest, Grant","Koepka, Brooks"
"Dale, Pete","Campbell, Brian","Kim, Michael","Hidalgo, Angel","Smalley, Alex","Harrington, Padraig","Wiesberger, Bernd","Canter, Laurie","McCarty, Matt","Norris, Shaun","Forrest, Grant","Koepka, Brooks","Lee, Min Woo"
"De Vicenzo, Roberto","Kim, Michael","Hidalgo, Angel","Smalley, Alex","Harrington, Padraig","Wiesberger, Bernd","Canter, Laurie","McCarty, Matt","Norris, Shaun","Forrest, Grant","Koepka, Brooks","Lee, Min Woo","Siem, Marcel"
"Demaret, Jimmy","Hidalgo, Angel","Smalley, Alex","Harrington, Padraig","Wiesberger, Bernd","Canter, Laurie","McCarty, Matt","Norris, Shaun","Forrest, Grant","Koepka, Brooks","Lee, Min Woo","Siem, Marcel","Thorbjornsen, Michael"
"Diegel, Leo","Smalley, Alex","Harrington, Padraig","Wiesberger, Bernd","Canter, Laurie","McCarty, Matt","Norris, Shaun","Forrest, Grant","Koepka, Brooks","Lee, Min Woo","Siem, Marcel","Thorbjornsen, Michael","Svensson, Jesper"
"DiMartino, Michael","Harrington, Padraig","Wiesberger, Bernd","Canter, Laurie","McCarty, Matt","Norris, Shaun","Forrest, Grant","Koepka, Brooks","Lee, Min Woo","Siem, Marcel","Thorbjornsen, Michael","Svensson, Jesper","Ferguson, Ewen"
"Evans, Chick","Wiesberger, Bernd","Canter, Laurie","McCarty, Matt","Norris, Shaun","Forrest, Grant","Koepka, Brooks","Lee, Min Woo","Siem, Marcel","Thorbjornsen, Michael","Svensson, Jesper","Ferguson, Ewen","Cantlay, Patrick"
"Faldo, Nick","Canter, Laurie","McCarty, Matt","Norris, Shaun","Forrest, Grant","Koepka, Brooks","Lee, Min Woo","Siem, Marcel","Thorbjornsen, Michael","Svensson, Jesper","Ferguson, Ewen","Cantlay, Patrick","Hojgaard, Nicolai"
"Floyd, Raymond","McCarty, Matt","Norris, Shaun","Forrest, Grant","Koepka, Brooks","Lee, Min Woo","Siem, Marcel","Thorbjornsen, Michael","Svensson, Jesper","Ferguson, Ewen","Cantlay, Patrick","Hojgaard, Nicolai","Larrazabal, Pablo"
"Fort, James","Norris, Shaun","Forrest, Grant","Koepka, Brooks","Lee, Min Woo","Siem, Marcel","Thorbjornsen, Michael","Svensson, Jesper","Ferguson, Ewen","Cantlay, Patrick","Hojgaard, Nicolai","Larrazabal, Pablo","Kitayama, Kurt"
"Godat, Hayden","Forrest, Grant","Koepka, Brooks","Lee, Min Woo","Siem, Marcel","Thorbjornsen, Michael","Svensson, Jesper","Ferguson, Ewen","Cantlay, Patrick","Hojgaard, Nicolai","Larrazabal, Pablo","Kitayama, Kurt","Neergaard-Petersen, Rasmus"
"Green, Hubert","Koepka, Brooks","Lee, Min Woo","Siem, Marcel","Thorbjornsen, Michael","Svensson, Jesper","Ferguson, Ewen","Cantlay, Patrick","Hojgaard, Nicolai","Larrazabal, Pablo","Kitayama, Kurt","Neergaard-Petersen, Rasmus","Schauffele, Xander"
"Grosser, Joy","Lee, Min Woo","Siem, Marcel","Thorbjornsen, Michael","Svensson, Jesper","Ferguson, Ewen","Cantlay, Patrick","Hojgaard, Nicolai","Larrazabal, Pablo","Kitayama, Kurt","Neergaard-Petersen, Rasmus","Schauffele, Xander","Reitan, Kristoffer"
"Guldahl, Ralph","Siem, Marcel","Thorbjornsen, Michael","Svensson, Jesper","Ferguson, Ewen","Cantlay, Patrick","Hojgaard, Nicolai","Larrazabal, Pablo","Kitayama, Kurt","Neergaard-Petersen, Rasmus","Schauffele, Xander","Reitan, Kristoffer","Scott, Adam"
"Hagen, Walter","Thorbjornsen, Michael","Svensson, Jesper","Ferguson, Ewen","Cantlay, Patrick","Hojgaard, Nicolai","Larrazabal, Pablo","Kitayama, Kurt","Neergaard-Petersen, Rasmus","Schauffele, Xander","Reitan, Kristoffer","Scott, Adam","Lawrence, Thriston"
"Heard, Connor","Svensson, Jesper","Ferguson, Ewen","Cantlay, Patrick","Hojgaard, Nicolai","Larrazabal, Pablo","Kitayama, Kurt","Neergaard-Petersen, Rasmus","Schauffele, Xander","Reitan, Kristoffer","Scott, Adam","Lawrence, Thriston","Hillier, Daniel"
"Heard, Zach","Ferguson, Ewen","Cantlay, Patrick","Hojgaard, Nicolai","Larrazabal, Pablo","Kitayama, Kurt","Neergaard-Petersen, Rasmus","Schauffele, Xander","Reitan, Kristoffer","Scott, Adam","Lawrence, Thriston","Hillier, Daniel","Hoffman, Charley"
"Hilton, Harold","Cantlay, Patrick","Hojgaard, Nicolai","Larrazabal, Pablo","Kitayama, Kurt","Neergaard-Petersen, Rasmus","Schauffele, Xander","Reitan, Kristoffer","Scott, Adam","Lawrence, Thriston","Hillier, Daniel","Hoffman, Charley","Lowry, Shane"
"Hogan, Ben","Hojgaard, Nicolai","Larrazabal, Pablo","Kitayama, Kurt","Neergaard-Petersen, Rasmus","Schauffele, Xander","Reitan, Kristoffer","Scott, Adam","Lawrence, Thriston","Hillier, Daniel","Hoffman, Charley","Lowry, Shane","Spaun, J.J."
"Holden, Mickey","Larrazabal, Pablo","Kitayama, Kurt","Neergaard-Petersen, Rasmus","Schauffele, Xander","Reitan, Kristoffer","Scott, Adam","Lawrence, Thriston","Hillier, Daniel","Hoffman, Charley","Lowry, Shane","Spaun, J.J.","Rai, Aaron"
"Irwin, Hale","Kitayama, Kurt","Neergaard-Petersen, Rasmus","Schauffele, Xander","Reitan, Kristoffer","Scott, Adam","Lawrence, Thriston","Hillier, Daniel","Hoffman, Charley","Lowry, Shane","Spaun, J.J.","Rai, Aaron","Potgieter, Aldrich"
"Jacklin, Tony","Neergaard-Petersen, Rasmus","Schauffele, Xander","Reitan, Kristoffer","Scott, Adam","Lawrence, Thriston","Hillier, Daniel","Hoffman, Charley","Lowry, Shane","Spaun, J.J.","Rai, Aaron","Potgieter, Aldrich","Olesen, Thorbjorn"
"Jankowsky, Jeff","Schauffele, Xander","Reitan, Kristoffer","Scott, Adam","Lawrence, Thriston","Hillier, Daniel","Hoffman, Charley","Lowry, Shane","Spaun, J.J.","Rai, Aaron","Potgieter, Aldrich","Olesen, Thorbjorn","Premlall, Yurav"
"Jones, Bobby","Reitan, Kristoffer","Scott, Adam","Lawrence, Thriston","Hillier, Daniel","Hoffman, Charley","Lowry, Shane","Spaun, J.J.","Rai, Aaron","Potgieter, Aldrich","Olesen, Thorbjorn","Premlall, Yurav","McIlroy, Rory"
"Jonson, Ben","Scott, Adam","Lawrence, Thriston","Hillier, Daniel","Hoffman, Charley","Lowry, Shane","Spaun, J.J.","Rai, Aaron","Potgieter, Aldrich","Olesen, Thorbjorn","Premlall, Yurav","McIlroy, Rory","MacIntyre, Robert"
"Judge, Aaron","Lawrence, Thriston","Hillier, Daniel","Hoffman, Charley","Lowry, Shane","Spaun, J.J.","Rai, Aaron","Potgieter, Aldrich","Olesen, Thorbjorn","Premlall, Yurav","McIlroy, Rory","MacIntyre, Robert","Gotterup, Chris"
"Judge, Alex","Hillier, Daniel","Hoffman, Charley","Lowry, Shane","Spaun, J.J.","Rai, Aaron","Potgieter, Aldrich","Olesen, Thorbjorn","Premlall, Yurav","McIlroy, Rory","MacIntyre, Robert","Gotterup, Chris","Molinari, Francesco"
"Kendrick, Spence","Hoffman, Charley","Lowry, Shane","Spaun, J.J.","Rai, Aaron","Potgieter, Aldrich","Olesen, Thorbjorn","Premlall, Yurav","McIlroy, Rory","MacIntyre, Robert","Gotterup, Chris","Molinari, Francesco","Ayora, Angel"
"Kite, Tom","Lowry, Shane","Spaun, J.J.","Rai, Aaron","Potgieter, Aldrich","Olesen, Thorbjorn","Premlall, Yurav","McIlroy, Rory","MacIntyre, Robert","Gotterup, Chris","Molinari, Francesco","Ayora, Angel","Snedeker, Brandt"
"Klaudt, David","Spaun, J.J.","Rai, Aaron","Potgieter, Aldrich","Olesen, Thorbjorn","Premlall, Yurav","McIlroy, Rory","MacIntyre, Robert","Gotterup, Chris","Molinari, Francesco","Ayora, Angel","Snedeker, Brandt","Clark, Wyndham"
"Little, Lawson","Rai, Aaron","Potgieter, Aldrich","Olesen, Thorbjorn","Premlall, Yurav","McIlroy, Rory","MacIntyre, Robert","Gotterup, Chris","Molinari, Francesco","Ayora, Angel","Snedeker, Brandt","Clark, Wyndham","Hovland, Viktor"
"Littler, Gene","Potgieter, Aldrich","Olesen, Thorbjorn","Premlall, Yurav","McIlroy, Rory","MacIntyre, Robert","Gotterup, Chris","Molinari, Francesco","Ayora, Angel","Snedeker, Brandt","Clark, Wyndham","Hovland, Viktor","Chacarra, Eugenio"
"Locke, Bobby","Olesen, Thorbjorn","Premlall, Yurav","McIlroy, Rory","MacIntyre, Robert","Gotterup, Chris","Molinari, Francesco","Ayora, Angel","Snedeker, Brandt","Clark, Wyndham","Hovland, Viktor","Chacarra, Eugenio","Perez, Victor"
"Lopez, Nancy","Premlall, Yurav","McIlroy, Rory","MacIntyre, Robert","Gotterup, Chris","Molinari, Francesco","Ayora, Angel","Snedeker, Brandt","Clark, Wyndham","Hovland, Viktor","Chacarra, Eugenio","Perez, Victor","Lindell, Oliver"
"Luce, Ken","McIlroy, Rory","MacIntyre, Robert","Gotterup, Chris","Molinari, Francesco","Ayora, Angel","Snedeker, Brandt","Clark, Wyndham","Hovland, Viktor","Chacarra, Eugenio","Perez, Victor","Lindell, Oliver","Li, Haotong"
"Luce, Thomas","MacIntyre, Robert","Gotterup, Chris","Molinari, Francesco","Ayora, Angel","Snedeker, Brandt","Clark, Wyndham","Hovland, Viktor","Chacarra, Eugenio","Perez, Victor","Lindell, Oliver","Li, Haotong","Hatton, Tyrrell"
"Macatee Jr., Dayton","Gotterup, Chris","Molinari, Francesco","Ayora, Angel","Snedeker, Brandt","Clark, Wyndham","Hovland, Viktor","Chacarra, Eugenio","Perez, Victor","Lindell, Oliver","Li, Haotong","Hatton, Tyrrell","Jarvis, Casey"
"Macatee, Dayton","Molinari, Francesco","Ayora, Angel","Snedeker, Brandt","Clark, Wyndham","Hovland, Viktor","Chacarra, Eugenio","Perez, Victor","Lindell, Oliver","Li, Haotong","Hatton, Tyrrell","Jarvis, Casey","Noren, Alex"
"Mangrum, Llloyd","Ayora, Angel","Snedeker, Brandt","Clark, Wyndham","Hovland, Viktor","Chacarra, Eugenio","Perez, Victor","Lindell, Oliver","Li, Haotong","Hatton, Tyrrell","Jarvis, Casey","Noren, Alex","Eckroat, Austin"
"McGrath, Sean","Snedeker, Brandt","Clark, Wyndham","Hovland, Viktor","Chacarra, Eugenio","Perez, Victor","Lindell, Oliver","Li, Haotong","Hatton, Tyrrell","Jarvis, Casey","Noren, Alex","Eckroat, Austin","Katsuragawa, Yuto"
"Middlecoff, Cary","Clark, Wyndham","Hovland, Viktor","Chacarra, Eugenio","Perez, Victor","Lindell, Oliver","Li, Haotong","Hatton, Tyrrell","Jarvis, Casey","Noren, Alex","Eckroat, Austin","Katsuragawa, Yuto","Frittelli, Dylan"
"Militello, Michael","Hovland, Viktor","Chacarra, Eugenio","Perez, Victor","Lindell, Oliver","Li, Haotong","Hatton, Tyrrell","Jarvis, Casey","Noren, Alex","Eckroat, Austin","Katsuragawa, Yuto","Frittelli, Dylan","Nakajima, Keita"
"Miller, John Crow","Chacarra, Eugenio","Perez, Victor","Lindell, Oliver","Li, Haotong","Hatton, Tyrrell","Jarvis, Casey","Noren, Alex","Eckroat, Austin","Katsuragawa, Yuto","Frittelli, Dylan","Nakajima, Keita","Yellamaraju, Sudarshan"
"Miller, Johnny","Perez, Victor","Lindell, Oliver","Li, Haotong","Hatton, Tyrrell","Jarvis, Casey","Noren, Alex","Eckroat, Austin","Katsuragawa, Yuto","Frittelli, Dylan","Nakajima, Keita","Yellamaraju, Sudarshan","Strydom, Ockie"
"Moroney, Barbara","Lindell, Oliver","Li, Haotong","Hatton, Tyrrell","Jarvis, Casey","Noren, Alex","Eckroat, Austin","Katsuragawa, Yuto","Frittelli, Dylan","Nakajima, Keita","Yellamaraju, Sudarshan","Strydom, Ockie","Choi, Seungbin"
"Moroney, Jim","Li, Haotong","Hatton, Tyrrell","Jarvis, Casey","Noren, Alex","Eckroat, Austin","Katsuragawa, Yuto","Frittelli, Dylan","Nakajima, Keita","Yellamaraju, Sudarshan","Strydom, Ockie","Choi, Seungbin","Keefer, Johnny"
"Moroney, Kyle","Hatton, Tyrrell","Jarvis, Casey","Noren, Alex","Eckroat, Austin","Katsuragawa, Yuto","Frittelli, Dylan","Nakajima, Keita","Yellamaraju, Sudarshan","Strydom, Ockie","Choi, Seungbin","Keefer, Johnny","Meronk, Adrian"
"Moroney, Michael","Jarvis, Casey","Noren, Alex","Eckroat, Austin","Katsuragawa, Yuto","Frittelli, Dylan","Nakajima, Keita","Yellamaraju, Sudarshan","Strydom, Ockie","Choi, Seungbin","Keefer, Johnny","Meronk, Adrian","Coody, Pierceson"
"Moroney, Ronei","Noren, Alex","Eckroat, Austin","Katsuragawa, Yuto","Frittelli, Dylan","Nakajima, Keita","Yellamaraju, Sudarshan","Strydom, Ockie","Choi, Seungbin","Keefer, Johnny","Meronk, Adrian","Coody, Pierceson","Schmid, Matti"
"Moroney, Sean","Eckroat, Austin","Katsuragawa, Yuto","Frittelli, Dylan","Nakajima, Keita","Yellamaraju, Sudarshan","Strydom, Ockie","Choi, Seungbin","Keefer, Johnny","Meronk, Adrian","Coody, Pierceson","Schmid, Matti","Ravetto, David"
"Morris, Old Tom","Katsuragawa, Yuto","Frittelli, Dylan","Nakajima, Keita","Yellamaraju, Sudarshan","Strydom, Ockie","Choi, Seungbin","Keefer, Johnny","Meronk, Adrian","Coody, Pierceson","Schmid, Matti","Ravetto, David","Van Driel, Darius"
"Morris, Young Tom","Frittelli, Dylan","Nakajima, Keita","Yellamaraju, Sudarshan","Strydom, Ockie","Choi, Seungbin","Keefer, Johnny","Meronk, Adrian","Coody, Pierceson","Schmid, Matti","Ravetto, David","Van Driel, Darius","Castillo, Ricky"
"Nagle, Ken","Nakajima, Keita","Yellamaraju, Sudarshan","Strydom, Ockie","Choi, Seungbin","Keefer, Johnny","Meronk, Adrian","Coody, Pierceson","Schmid, Matti","Ravetto, David","Van Driel, Darius","Castillo, Ricky","Del Rey, Alejandro"
"Nelson, Byron","Yellamaraju, Sudarshan","Strydom, Ockie","Choi, Seungbin","Keefer, Johnny","Meronk, Adrian","Coody, Pierceson","Schmid, Matti","Ravetto, David","Van Driel, Darius","Castillo, Ricky","Del Rey, Alejandro","Ghim, Doug"
"Nelson, Larry","Strydom, Ockie","Choi, Seungbin","Keefer, Johnny","Meronk, Adrian","Coody, Pierceson","Schmid, Matti","Ravetto, David","Van Driel, Darius","Castillo, Ricky","Del Rey, Alejandro","Ghim, Doug","Veerman, Johannes"
"Nicklaus, Jack","Choi, Seungbin","Keefer, Johnny","Meronk, Adrian","Coody, Pierceson","Schmid, Matti","Ravetto, David","Van Driel, Darius","Castillo, Ricky","Del Rey, Alejandro","Ghim, Doug","Veerman, Johannes","Davis, Cam"
"Nilsson, Christian","Keefer, Johnny","Meronk, Adrian","Coody, Pierceson","Schmid, Matti","Ravetto, David","Van Driel, Darius","Castillo, Ricky","Del Rey, Alejandro","Ghim, Doug","Veerman, Johannes","Davis, Cam","Sterne, Richard"
"Norman, Greg","Meronk, Adrian","Coody, Pierceson","Schmid, Matti","Ravetto, David","Van Driel, Darius","Castillo, Ricky","Del Rey, Alejandro","Ghim, Doug","Veerman, Johannes","Davis, Cam","Sterne, Richard","Puig, David"
"Ouimet, Frances","Coody, Pierceson","Schmid, Matti","Ravetto, David","Van Driel, Darius","Castillo, Ricky","Del Rey, Alejandro","Ghim, Doug","Veerman, Johannes","Davis, Cam","Sterne, Richard","Puig, David","Parry, John"
"Palmer, Arnold","Schmid, Matti","Ravetto, David","Van Driel, Darius","Castillo, Ricky","Del Rey, Alejandro","Ghim, Doug","Veerman, Johannes","Davis, Cam","Sterne, Richard","Puig, David","Parry, John","Otaegui, Adrian"
"Park Sr., Willie","Ravetto, David","Van Driel, Darius","Castillo, Ricky","Del Rey, Alejandro","Ghim, Doug","Veerman, Johannes","Davis, Cam","Sterne, Richard","Puig, David","Parry, John","Otaegui, Adrian","Brennan, Michael"
"Picard, Henry","Van Driel, Darius","Castillo, Ricky","Del Rey, Alejandro","Ghim, Doug","Veerman, Johannes","Davis, Cam","Sterne, Richard","Puig, David","Parry, John","Otaegui, Adrian","Brennan, Michael","Kirk, Chris"
"Player, Gary","Castillo, Ricky","Del Rey, Alejandro","Ghim, Doug","Veerman, Johannes","Davis, Cam","Sterne, Richard","Puig, David","Parry, John","Otaegui, Adrian","Brennan, Michael","Kirk, Chris","Du Plessis, Hennie"
"Price, Nick","Del Rey, Alejandro","Ghim, Doug","Veerman, Johannes","Davis, Cam","Sterne, Richard","Puig, David","Parry, John","Otaegui, Adrian","Brennan, Michael","Kirk, Chris","Du Plessis, Hennie","Willett, Danny"
"Purnell, Blake","Ghim, Doug","Veerman, Johannes","Davis, Cam","Sterne, Richard","Puig, David","Parry, John","Otaegui, Adrian","Brennan, Michael","Kirk, Chris","Du Plessis, Hennie","Willett, Danny","Novak, Andrew"
"Purnell, Corson","Veerman, Johannes","Davis, Cam","Sterne, Richard","Puig, David","Parry, John","Otaegui, Adrian","Brennan, Michael","Kirk, Chris","Du Plessis, Hennie","Willett, Danny","Novak, Andrew","Knapp, Jake"
"Purnell, Maury","Davis, Cam","Sterne, Richard","Puig, David","Parry, John","Otaegui, Adrian","Brennan, Michael","Kirk, Chris","Du Plessis, Hennie","Willett, Danny","Novak, Andrew","Knapp, Jake","Elvira, Nacho"
"Robertson, Allan","Sterne, Richard","Puig, David","Parry, John","Otaegui, Adrian","Brennan, Michael","Kirk, Chris","Du Plessis, Hennie","Willett, Danny","Novak, Andrew","Knapp, Jake","Elvira, Nacho","Bradbury, Dan"
"Rodriguez, Chi-Chi","Puig, David","Parry, John","Otaegui, Adrian","Brennan, Michael","Kirk, Chris","Du Plessis, Hennie","Willett, Danny","Novak, Andrew","Knapp, Jake","Elvira, Nacho","Bradbury, Dan","Norgaard, Niklas"
"Runyan, Paul","Parry, John","Otaegui, Adrian","Brennan, Michael","Kirk, Chris","Du Plessis, Hennie","Willett, Danny","Novak, Andrew","Knapp, Jake","Elvira, Nacho","Bradbury, Dan","Norgaard, Niklas","Highsmith, Joe"
"Sarazen, Gene","Otaegui, Adrian","Brennan, Michael","Kirk, Chris","Du Plessis, Hennie","Willett, Danny","Novak, Andrew","Knapp, Jake","Elvira, Nacho","Bradbury, Dan","Norgaard, Niklas","Highsmith, Joe","Kaneko, Kota"
"Sifford, Charlie","Brennan, Michael","Kirk, Chris","Du Plessis, Hennie","Willett, Danny","Novak, Andrew","Knapp, Jake","Elvira, Nacho","Bradbury, Dan","Norgaard, Niklas","Highsmith, Joe","Kaneko, Kota","Schott, Freddy"
"Singh, Vijay","Kirk, Chris","Du Plessis, Hennie","Willett, Danny","Novak, Andrew","Knapp, Jake","Elvira, Nacho","Bradbury, Dan","Norgaard, Niklas","Highsmith, Joe","Kaneko, Kota","Schott, Freddy","Meissner, Mac"
"Smith, Horton","Du Plessis, Hennie","Willett, Danny","Novak, Andrew","Knapp, Jake","Elvira, Nacho","Bradbury, Dan","Norgaard, Niklas","Highsmith, Joe","Kaneko, Kota","Schott, Freddy","Meissner, Mac","Johnston, Ryggs"
"Snead, Sam","Willett, Danny","Novak, Andrew","Knapp, Jake","Elvira, Nacho","Bradbury, Dan","Norgaard, Niklas","Highsmith, Joe","Kaneko, Kota","Schott, Freddy","Meissner, Mac","Johnston, Ryggs","LaCroix, Frederic"
"Stewart, Payne","Novak, Andrew","Knapp, Jake","Elvira, Nacho","Bradbury, Dan","Norgaard, Niklas","Highsmith, Joe","Kaneko, Kota","Schott, Freddy","Meissner, Mac","Johnston, Ryggs","LaCroix, Frederic","Luiten, Joost"
"Taylor, John Henry","Knapp, Jake","Elvira, Nacho","Bradbury, Dan","Norgaard, Niklas","Highsmith, Joe","Kaneko, Kota","Schott, Freddy","Meissner, Mac","Johnston, Ryggs","LaCroix, Frederic","Luiten, Joost","Couvra, Martin"
"Thomson, Peter","Elvira, Nacho","Bradbury, Dan","Norgaard, Niklas","Highsmith, Joe","Kaneko, Kota","Schott, Freddy","Meissner, Mac","Johnston, Ryggs","LaCroix, Frederic","Luiten, Joost","Couvra, Martin","McGreevy, Max"
"Travers, Jerome","Bradbury, Dan","Norgaard, Niklas","Highsmith, Joe","Kaneko, Kota","Schott, Freddy","Meissner, Mac","Johnston, Ryggs","LaCroix, Frederic","Luiten, Joost","Couvra, Martin","McGreevy, Max","Wu, Ashun"
"Travis, Walter","Norgaard, Niklas","Highsmith, Joe","Kaneko, Kota","Schott, Freddy","Meissner, Mac","Johnston, Ryggs","LaCroix, Frederic","Luiten, Joost","Couvra, Martin","McGreevy, Max","Wu, Ashun","Armitage, Marcus"
"Trevino, Lee","Highsmith, Joe","Kaneko, Kota","Schott, Freddy","Meissner, Mac","Johnston, Ryggs","LaCroix, Frederic","Luiten, Joost","Couvra, Martin","McGreevy, Max","Wu, Ashun","Armitage, Marcus","Moore, Taylor"
"Vardon, Harry","Kaneko, Kota","Schott, Freddy","Meissner, Mac","Johnston, Ryggs","LaCroix, Frederic","Luiten, Joost","Couvra, Martin","McGreevy, Max","Wu, Ashun","Armitage, Marcus","Moore, Taylor","Fox, Ryan"
"Watson, Tom","Schott, Freddy","Meissner, Mac","Johnston, Ryggs","LaCroix, Frederic","Luiten, Joost","Couvra, Martin","McGreevy, Max","Wu, Ashun","Armitage, Marcus","Moore, Taylor","Fox, Ryan","Lindberg, Mikael"
